"EasyTranslate Connector","EasyTranslate Connector"
"API","API"
"Environment","Environment"
"Client ID","Client ID"
"Client Secret","Client Secret"
"User Name","User Name"
"Password","Password"
"Sandbox","Sandbox"
"Live","Live"
"Attributes","Attributes"
"Products","Products"
"Select the product attributes, which should be translated.","Select the product attributes, which should be translated."
"Categories","Categories"
"Select the category attributes, which should be translated.","Select the category attributes, which should be translated."
"CMS Blocks","CMS Blocks"
"Select the CMS block attributes, which should be translated.","Select the CMS block attributes, which should be translated."
"CMS Pages","CMS Pages"
"Select the CMS page attributes, which should be translated.","Select the CMS page attributes, which should be translated."
